date,user_id,type,value
2019-04-18T20:10:53.712Z,2666,ruminationStress,1.16426920891
2018-11-09T13:23:41.242Z,2012,ruminationStress,0.0
2019-01-25T09:18:03.321Z,3450,mood,3.8
2018-11-25T20:19:44.827Z,6510,anticipatoryStress,2.0
2019-06-22T00:31:32.563Z,4612,mood,1.04
2018-10-07T17:05:18.499Z,2012,mood,1.52
2018-10-28T16:32:44.369Z,603,mood,2.46633720398
2019-05-03T13:35:44.605Z,1471,sleep,3.6399999
2018-11-13T13:46:18.146Z,1822,sleep,0.0
2019-01-06T19:29:01.575Z,2435,sleep,4.0
2019-06-14T20:49:29.826Z,1109,mood,1.48
2018-11-14T22:25:31.037Z,1309,sleep,1.52
2019-06-22T12:24:14.348Z,2025,mood,3.0
2018-11-14T01:58:26.218Z,7566,mood,2.0
2018-10-02T16:55:06.656Z,2012,mood,1.8
2019-03-16T23:00:48.308Z,2666,mood,2.0
2018-10-16T01:18:22.858Z,2311,sleep,1.8800001
2019-04-14T12:05:53.548Z,1044,mood,3.0
2019-04-07T15:38:10.152Z,650,sleep,4.0
2019-04-24T16:28:08.491Z,3314,mood,1.0604224205
2019-03-29T12:39:18.269Z,7129,sleep,0.16000009
2018-12-08T13:12:07.150Z,1371,sleep,2.0
2019-06-12T14:28:24.794Z,2025,ruminationStress,3.0
2018-11-06T14:47:54.156Z,6876,mood,2.8
2018-10-28T16:56:45.789Z,2666,mood,2.4
2018-12-22T20:57:58.839Z,2497,sleep,3.48
2018-11-03T13:07:30.496Z,1260,mood,0.604490995407
2019-06-09T17:22:59.741Z,7019,mood,1.96
2019-06-12T14:28:24.777Z,3782,mood,1.95980453491
2018-09-28T16:32:49.376Z,1822,sleep,1.89944195747
2019-01-25T20:18:13.421Z,1044,mood,4.0
2018-11-09T23:46:49.976Z,2432,mood,3.92
2019-04-02T20:02:07.003Z,2666,sleep,1.8800001
2018-12-14T14:57:43.663Z,5085,sleep,3.72
2019-06-23T20:27:03.436Z,2802,sleep,4.0
2018-10-10T12:01:28.414Z,2012,sleep,2.31688070297
2019-03-11T19:47:18.112Z,2283,mood,4.0
2019-03-20T20:08:04.972Z,1513,anticipatoryStress,4.0
2019-02-12T14:13:41.423Z,6299,mood,3.81651902199
